媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
公視台語台南部中心落腳高雄  世界又看見高雄了，高雄起飛
比爛是不是刻在台灣人DNA裡面  如果是開車違規連美國警察也都算常見啊
2014的性侵如何告  台灣司法的屬人屬地亂糟糟的（看看陳同
王丹歡迎提告  彭文正摩拳擦掌中
除了泰國東南亞旅遊還推哪個國家  危險國家自助的話結伴同行
為什麼有人覺得王丹愛吸懶覺  因為臉
領九萬應該蠻丟臉的吧  好文！
驚Jinny褲子的拉鍊開了  看到藏污納垢的肚臍了
性lie台灣32而已  從政是不是處男族群的新思路
六四民運份子跟太陽花學生484素質差不多  跟你差不多低沒錯
看到水豚該注意些什麼  水豚可愛IP中華電信行動這是頑皮世界?
我們是他們的奴隸  五樓是屁眼噁甲的肛門奴隸
企鵝妹今天會在達美樂林口長庚店擔任店長  博士虐貓，碩士約砲，學士射精在飲料，校友正在蹲苦窯
國中小老師為什麼都沒有淘汰的機制  國中小老師的世界就很封閉啊，每個都
三字經響徹樂天球場穎樂捂住嘴巴  沒有林襄沒有李多慧樂天根本沒亮點--
六四不輾人就要打烏克蘭戰爭  把提出問題的人都解決了，就不會有問
怎麼有人在家養飛鼠啦  我朋友家樓下的豆花店就真的有養飛鼠啊
王丹歡迎提告  也只能這樣了
被控毆黨工還嗆死同性戀陳右豪稱我沒  我沒有不承認但我要告死你們@皿@
台女列10點喊不想再去首爾慘被翻成  不是都用什麼navier導覽？以前韓國不
其實一些美食YT真的蠻沒品的吧  般美食YT哪裡吃的出來
為什麼不反核了  因為反不下去如果要反核你不能以半導體
王丹歡迎提告  目前幾人指控王丹
消費消費消費消費  不標示價格對觀光客也不友善容易起紛
快訊烏來泛舟活動傳意外1人落水警  烏來有泛舟
不單純義大利遊船沉沒21乘客全是情  是情報單位旅遊不是特務約出來抬槓
六四不就鎮壓暴民而已嗎  若是鎮壓暴民中國官方就不會變成不可描述
脫口于美人奶沒比較小挨批失言朱  以為他是說魚的奶沒有比朱的小
被帥哥性騷擾會吉嗎  https://i.imgur.com/HVf1I73.jpg
企鵝妹今天會在達美樂林口長庚店擔任店長  林口長庚在龜山新莊火車站在新竹
操他媽罵韓國就推罵日本就噓  蔡阿嘎就罵韓國才紅的現在罵日本就
小卷米粉好吃在哪  粉。小卷米粉感覺好怪
小美人魚給男同性戀演誰適合  我的鯨魚老爸加小美人魚變我的跨性人鯨
台灣的三大戴立  戴笠的名字以前大人是不准小孩講的
台灣依社經地位許可擁槍是不是能減少89  這樣立委議員會整天掏槍出來嗆聲很不方
都是they的錯的八卦  都是艾莉的錯
如果當年六四革命成功了現在中國會比較  我覺得會變菲律賓欸
台女列10點喊不想再去首爾慘被翻成  喔你沒去過韓國只去日本然後來結論
丹佐華盛頓會怎麼演小美人魚  援救小女孩的那部比較好看
機捷是不是很爛啊  機捷大家會覺得曼是因為，普通車每站停
說出一位令人尊敬的男同志  AlanTuring
大部分的人都覺得媽媽比較重要吧  有錢比較重要
什麼東西是綠能  藍白不能做但是党可以做的任何事都是綠能
八卦很多肥宅都是心理變態  我看你以前的發文是不是該戒掉對你比較好
亞洲哪個國家妹子又正又刻苦耐勞  越南女生在台灣開越南料理一個比一個
怎麼解釋佔領立院是對還錯  https://i.imgur.com/iLTWCGl.jpg
只有我願意相信民運鬥士王丹嗎  幹嘛相信王丹，就給美國法院判就好，王丹
琉璃昂貴的原因是啥  你去義大利看murano生產的也是很貴，小小
企鵝的GINA在99動物園欺負小羊  幹欠妳欺負小羊逆
政壇性騷事件連環爆柯文哲嘆最多找  中共也有制度阿，但你無法阻止領導人獨裁
理論上肥宅可以斷食很久  誰管肥宅能斷多久只希望肥宅餓死
以後是不是不會有像20002008那種股災了  有俄烏戰爭跟中國想侵略台灣難有股災
嫖妓選妃時先摸奶會被告性騷嗎  摸奶會不會得愛滋猴痘？？
什麼時候會告帥哥性騷擾或性侵  閨密聊天之後，告帥哥性侵
矢板明夫性侵受害者請不要在64爆料  檢討受害者？
走路走到燒檔是什麼感覺  本來就穿小一號內褲當然會燒檔
現在還有可能白手起家創便利商店嗎  看有沒有大企業要引進Lawson吧台灣沒
有個30歲女友是什麼感覺  沒什麼感覺奶比20歲的大就好
為什麼自動扣皮帶都不流行啊  其實自己扣沒花多少時間呀，自動繫皮帶才
目前檯面幾個metoo最後不是安伯赫德  真的要告基本上都敗訴職場性騷本來就不
今年是不是很流行露肚臍啊  你三年沒出山洞了是不是....
性騷擾事件的稱呼  dpp的日常
培根蛋吐司40已經常態了  已經是常態了，謝謝民進黨，執政八年
面對64是不是逃跑投降最贏  64是假議題啦。騙錢騙男人才是真的
所以貼這車身標語可以行使什麼權利呢  好酷喔下次我也要貼
霧峰某大學舍監闖女大生寢室用凡士林狂  霧峰某大學不就朝陽或亞洲
首度以總統候選人身分柯文哲啟程訪  64應該訪中國
大家還希望看到AI孫燕姿幹嘛  都搬運過來的啊~還有AI周杰倫AI房東的貓
訂過最貴的月費是多少  月費，後來我自己看簿子才知道每個月都給
女生碰一下是開玩笑男生碰一下是性騷  女生碰我我都給碰紳士風度
這七年台灣總體是變好還是變差  111年全年每人每月總薪資平均為60,954行
有沒有不二馬大叔的卦  今天也有畫
剛看到小嘉玲吳以涵打耳洞辛酸畫面曝光  她叫陳嘉玲回不去了
矢板明夫性侵受害者請不要在64爆料  媽的不要特定時間爆料不就大局為重
怎麼解釋佔領立院是對還錯  你是藍的那就是錯，你是綠的那就是對
我弟想送我去精神病院欸  精神病院更爽吧？
當王丹的手伸進我衣服的那一天  因為我是一個（淫亂的）男同志的緣故
和平統一的話解放軍會不會殺人  按人頭算使用空間分給沒房的家庭
陶比的蜘蛛人是不是才最好看  是陶比的最好女主則是2代的石頭好
如何改善三重這個地方  三重本來有家庭工廠以上規模的土地都可
甲甲都是什麼顏色的啊  樓下的龜頭是什麼顏色的
要靠刷題緩解焦慮怎麼辦  大學生刷題都比你厲害
有沒有64松江城的八卦  松江城搭個人的爬升椅上下都蠻不錯的，視野好
高雄社宅達成率僅245市府戶數成  https://i.imgur.com/9St269H.jpg悲?
急西瓜為什麼是綠色的  不是西瓜是綠的，而是綠的都西瓜
這七年台灣總體是變好還是變差  111年全年每人每月經常性薪資平均為44,4
台女啥時比占占占重要了  占占占是他國事務，而且他國都不重視了，
南部人請進  丹丹北部人下來吃的，南部人很少吃丹丹
正港的南部人有什麼特徵  會上八卦版問南部人有什麼特徵
幾歲的阿六開始不知道天安門事件的卦  知道的都在地下了吧
日本殖民中國東北時  想太多吧日本殖民台灣有滅絕台人計畫？
哥布林的夢魘  哥布林噴血就是紅的，所以綠皮紅骨
指控王丹強吻的受害者記者會開始了  王丹邀請19y李生去紐約李生就去了耶
當年的屠龍勇者  壓案吃案就比較偏向作弊
黑道的世界有沒有性騷擾  性侵的很多，被仙人跳倒也很多
北市學區宅用租比買划算  說的好像我們說買就買
北部水庫大進補桃園石門蓄水破億  工三小本來水庫就一堆動物的屎尿阿==
如何改善三重這個地方  學習效法日本的三重
為啥有大學生寧願做手工藝賣也不去打工  跟地攤都賣幾百上千，有夠誇張
臺灣有沒有被淡化的歷史  想要讓這些被遺忘的歷史現身
大畢生首年均薪破4萬63領不到  超過一半領不到叫均新？
如果當年六四革命成功了現在中國會比較  不會比較好。但是會比較自由。看人了...
指控王丹強吻的受害者記者會開始了  而且王丹是境外人士光是出庭就很難了吧
漢堡一層一層吃的都什麼人  那些標榜很多層的到底在驕傲什麼怎麼塞
台灣是越沒才藝越紅嗎  你有才藝嗎？
拳上終於之戰第二波組合解鎖  我想看這群人(全上)vs任何人的拳上
剛剛唱請問愛怎麼走的可以得幾分  這幾個都蠻能唱的就是
台灣真的是低薪鬼島嗎  低薪是事實
企鵝妹0603暗黑破壞神4DLC精華懶人包  謝謝懶人包超人
如果當年六四革命成功了現在中國會比較  身為台灣人，已經超過世界90%的人類了。
六十六歲大小姐被性騷擾會修法嗎  大小姐是被性騷ㄇ還是被六式弄得很舒服
連夜搶修中橫電力台電49歲員工遭工程車  工程車斜坡輪胎放障礙物不是常識嗎?
被帥哥性騷擾會吉嗎  會告他沒有早點性侵我
受害者現身了對王丹下最後通牒  阿中選市長都被舔耳朵了
和平統一的話解放軍會不會殺人  有和平統一這件事？只有統一吧？
期末考監考老師很正怎麼辦  樓上有道理
Jinny企鵝是不是很喜歡逛西門町阿  因為他不是台北人阿很奇怪嗎
印度3火車相撞釀288死近千傷目擊者忘不了滿地鮮血斷  2火車我可以想像3火車是怎麼回事==
處男第一次跟女生約會會AA制嗎  再約一次還是讓對方出
網傳中國高校教室播PPT悼六四籲推翻中共  可怕的是最後這群人下場也沒人知道
六四34週年台灣有發聲多元管道蔡英文  多元管道：男黨工，女黨員，任擬挑選
有沒有日本冰棒品牌嘎裡嘎裡的八卦  黃記麻油雞最大的對手
16空屋率算多嗎  違章有算進分母嗎?
臺灣有沒有被淡化的歷史  。這就是被淡化的歷史。
胖到a罩杯怎麼辦  a杯在這板都不好意思講了
上站1800足以被稱為學長了吧  菜味都聞到了
蔡阿嘎什麼時候在八卦版翻車的阿  老老實實拍片？484有什麼誤會
王心凌昨小露白皙乳溝性感又可愛  嗯就阿姨老人又臭又噁心現在都韓團年輕
說真的64到底關台灣人什麼事  64同性戀節
欸我日本朋友說蔡阿嘎講的沒錯啊  你有跟你的日本朋友打炮嗎？
說出一位令人尊敬的男同志  該怎麼翻就怎麼翻，幹嘛用錯的
專制的坦克vs民主的坦克  民主的雲豹
社運圈是哪時候開始黑掉的  社運不就是下層人羨慕上層的淫亂搞出來的
蔡阿嘎什麼時候在八卦版翻車的阿  瘋狂買業配Yt一打開全是他的臉的時候
萬七是不是在懷疑中到來  指數狂噴個股還是爛在那啊
什麼樣的戀愛教練能夠訓練肥宅變情聖  有做愛教練嘛?
台灣真的是低薪鬼島嗎  乖乖考公務員...還鬼島？
古柯鹼對頭腦有好處  嚼食古柯葉就是為了攝取古柯鹼啊
當年的屠龍勇者  就自己成為了當年自己最討厭的那個樣子
台中騎士遭貨車撞擊機車起火民眾公車司機急抄滅火器搶救  貨車闖紅燈全責
六四前夕王丹爆出性騷484阿共的陰謀  那被騷擾的難道要被調查是不是被操控?
哈利波特只把反派擊暈是在搞屁啊  小說動漫主角方都是一堆白癡聖母啊
健身教練會推薦零卡可樂嗎  零卡可樂通常會配洋芋片
Dcard熱門不聊天的男生怎麼交到女友的  聊自己很多張便宜的X創等女生問是緯
北部水庫大進補桃園石門蓄水破億  笑死高雄伏流水就三個曾文北部要靠水庫
西門町不是說沒落嗎怎麼妹子還一堆  市長換人了這半年來有一半的人沒說了
請問中醫是不是世界最大的騙局呢  補充礦物質讚
綠性騷層級升高燒向總統府資政  等兩點性騷擾指揮中心報數
台灣法官會怎麼判謀殺未遂強姦  人沒死台灣法官拚個十年以下吧
有沒有一貫道的八卦  請問一貫道這兩天是不是有在辦活動？
台灣哥布林那麼多誰是哥布林殺手  滿朝盡是哥布林少說有千千萬萬個
Kolas性騷沒政黨別網友批只有民進黨  民進黨找別黨的碴想轉移焦點不夠
企鵝腳怎麼了踩到釘子嗎  不然你以為這800km她都是用飛的嗎
64會不會台灣的性騷擾受害者紀念日  會變成64禁止討論性騷擾日
企鵝妹在路邊包腳  不會回飯店弄喔路邊這樣很沒水準
有錢人不囤房地還能幹嘛  不加基本工資怎麼吸引外勞？
會在大街上處理腳皮的都是什麼人  南部人
我剛才搭捷運被性騷擾  請她來騷擾我
老師請你不要這樣子  老師請你不要這樣子你這樣一直動我很難督
最偉大的台灣百大運動員  怎麼沒有戴跟曾?好歹當過球后的兩人
慟企鵝妹不會用人工皮  傷口用液體泡爛再走路摩擦
王丹代言丹丹漢堡有搞頭嗎  漢堡夾熱狗
想練滑板或蛇板要注意什麼  不要蛇板，你玩技術板就練技術吧
Kolas性騷沒政黨別網友批只有民進黨  可是酒駕，性騷零容忍都是妳們講的耶
64是要紀念誰死去的還是逃出來的  中國人紀念的定義跟台灣人不一樣
目前笑最爽的是誰  笑最爽的是那個失智校長
韓國防部長年內啟動與美日即時共享飛彈  太空不是領空的台灣才是真正需要吧？
31處男昨天下午一個人去駁二走了兩個小  一個人在那走感覺好可憐喔QQ
惡人遇惡人好人遇好人  我都遇大奶
先買房還買車有沒有買車的藉口  當然買車誰知道會不會出車禍死掉買房
還有誰是沒有性騷擾的  sjw準備在台灣反撲了
綠性騷層級升高燒向總統府資政  不怪她.不這樣說難不成等塔綠斑出征?
王丹的腦瘤治好了嗎  党攻擊政敵的時候有在管隱私的嗎@@
Dcard熱門不聊天的男生怎麼交到女友的  不想承擔那個風險不行膩台女的素質不值
小美人魚的故事也太感人了吧  票房也化為泡沫了
